file,youtube_title,playlist,description
ch12-p3.mp4,[NGN W1.2 P3] A Worked Example and the Algebra Rules,Week 1 — Probability & Inference,"A Worked Example and the Algebra Rules — NextGen Empirical Finance Camp. Part 3 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p4.mp4,[NGN W1.2 P4] The Variance of a Sum,Week 1 — Probability & Inference,"The Variance of a Sum — NextGen Empirical Finance Camp. Part 4 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p5.mp4,[NGN W1.2 P5] Maya's Two-Asset Budget,Week 1 — Probability & Inference,"Maya's Two-Asset Budget — NextGen Empirical Finance Camp. Part 5 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p6.mp4,[NGN W1.2 P6] The Minimum-Risk Blend,Week 1 — Probability & Inference,"The Minimum-Risk Blend — NextGen Empirical Finance Camp. Part 6 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p7.mp4,[NGN W1.2 P7] Correlation as a Cosine,Week 1 — Probability & Inference,"Correlation as a Cosine — NextGen Empirical Finance Camp. Part 7 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p8.mp4,[NGN W1.2 P8] Cauchy–Schwarz and Maya's Angles,Week 1 — Probability & Inference,"Cauchy–Schwarz and Maya's Angles — NextGen Empirical Finance Camp. Part 8 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p9.mp4,[NGN W1.2 P9] The Covariance Matrix,Week 1 — Probability & Inference,"The Covariance Matrix — NextGen Empirical Finance Camp. Part 9 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p10.mp4,[NGN W1.2 P10] From Sigma to the Heatmap,Week 1 — Probability & Inference,"From Sigma to the Heatmap — NextGen Empirical Finance Camp. Part 10 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p1.mp4,[NGN W1.3 P1] Estimator versus Estimate,Week 1 — Probability & Inference,"Estimator versus Estimate — NextGen Empirical Finance Camp. Part 1 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p2.mp4,[NGN W1.3 P2] Rival Recipes and the Bias Question,Week 1 — Probability & Inference,"Rival Recipes and the Bias Question — NextGen Empirical Finance Camp. Part 2 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p3.mp4,[NGN W1.3 P3] Proving the Sample Mean Unbiased,Week 1 — Probability & Inference,"Proving the Sample Mean Unbiased — NextGen Empirical Finance Camp. Part 3 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p4.mp4,[NGN W1.3 P4] Variance and the Standard Error,Week 1 — Probability & Inference,"Variance and the Standard Error — NextGen Empirical Finance Camp. Part 4 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p5.mp4,[NGN W1.3 P5] The Square Root and the Price of Precision,Week 1 — Probability & Inference,"The Square Root and the Price of Precision — NextGen Empirical Finance Camp. Part 5 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p6.mp4,[NGN W1.3 P6] Mean Squared Error and Its Decomposition,Week 1 — Probability & Inference,"Mean Squared Error and Its Decomposition — NextGen Empirical Finance Camp. Part 6 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p7.mp4,"[NGN W1.3 P7] The Bias–Variance Tradeoff, Scored",Week 1 — Probability & Inference,"The Bias–Variance Tradeoff, Scored — NextGen Empirical Finance Camp. Part 7 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p8.mp4,[NGN W1.3 P8] Consistency — Getting It Right Eventually,Week 1 — Probability & Inference,"Consistency — Getting It Right Eventually — NextGen Empirical Finance Camp. Part 8 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p9.mp4,[NGN W1.3 P9] Consistency — Two Warnings,Week 1 — Probability & Inference,"Consistency — Two Warnings — NextGen Empirical Finance Camp. Part 9 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p10.mp4,[NGN W1.3 P10] Faking the Universe — the Sampling Distribution,Week 1 — Probability & Inference,"Faking the Universe — the Sampling Distribution — NextGen Empirical Finance Camp. Part 10 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch13-p11.mp4,"[NGN W1.3 P11] The Shape, and the Theorems Ahead",Week 1 — Probability & Inference,"The Shape, and the Theorems Ahead — NextGen Empirical Finance Camp. Part 11 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p1.mp4,[NGN W1.4 P1] Two Debts and the Law of Large Numbers,Week 1 — Probability & Inference,"Two Debts and the Law of Large Numbers — NextGen Empirical Finance Camp. Part 1 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p2.mp4,[NGN W1.4 P2] Why the Law Holds: Chebyshev's Inequality,Week 1 — Probability & Inference,"Why the Law Holds: Chebyshev's Inequality — NextGen Empirical Finance Camp. Part 2 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p3.mp4,[NGN W1.4 P3] Seeing the Law: One Running Mean,Week 1 — Probability & Inference,"Seeing the Law: One Running Mean — NextGen Empirical Finance Camp. Part 3 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p4.mp4,[NGN W1.4 P4] Stating the Central Limit Theorem,Week 1 — Probability & Inference,"Stating the Central Limit Theorem — NextGen Empirical Finance Camp. Part 4 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p5.mp4,[NGN W1.4 P5] Why the Bell Must Appear,Week 1 — Probability & Inference,"Why the Bell Must Appear — NextGen Empirical Finance Camp. Part 5 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p6.mp4,[NGN W1.4 P6] Watching the Bell Form From a Skewed Population,Week 1 — Probability & Inference,"Watching the Bell Form From a Skewed Population — NextGen Empirical Finance Camp. Part 6 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p7.mp4,"[NGN W1.4 P7] The Folk Rule, and the Two Laws Together",Week 1 — Probability & Inference,"The Folk Rule, and the Two Laws Together — NextGen Empirical Finance Camp. Part 7 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p8.mp4,[NGN W1.4 P8] When the CLT Fails: Devon's Crypto and Fat Tails,Week 1 — Probability & Inference,"When the CLT Fails: Devon's Crypto and Fat Tails — NextGen Empirical Finance Camp. Part 8 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p9.mp4,[NGN W1.4 P9] A Hierarchy of Bad Behavior: Student's t and Cauchy,Week 1 — Probability & Inference,"A Hierarchy of Bad Behavior: Student's t and Cauchy — NextGen Empirical Finance Camp. Part 9 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch14-p10.mp4,"[NGN W1.4 P10] The Bell That Refuses to Form, and Where We're Going",Week 1 — Probability & Inference,"The Bell That Refuses to Form, and Where We're Going — NextGen Empirical Finance Camp. Part 10 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p1.mp4,[NGN W1.5 P1] The Two Hypotheses,Week 1 — Probability & Inference,"The Two Hypotheses — NextGen Empirical Finance Camp. Part 1 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p2.mp4,[NGN W1.5 P2] The Test Statistic,Week 1 — Probability & Inference,"The Test Statistic — NextGen Empirical Finance Camp. Part 2 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p3.mp4,[NGN W1.5 P3] Why We Need the t,Week 1 — Probability & Inference,"Why We Need the t — NextGen Empirical Finance Camp. Part 3 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p4.mp4,[NGN W1.5 P4] Computing Sam's t,Week 1 — Probability & Inference,"Computing Sam's t — NextGen Empirical Finance Camp. Part 4 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p5.mp4,[NGN W1.5 P5] Two Ways To Be Wrong,Week 1 — Probability & Inference,"Two Ways To Be Wrong — NextGen Empirical Finance Camp. Part 5 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p6.mp4,[NGN W1.5 P6] Power Made Concrete,Week 1 — Probability & Inference,"Power Made Concrete — NextGen Empirical Finance Camp. Part 6 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p7.mp4,[NGN W1.5 P7] One-Sided vs Two-Sided Tests,Week 1 — Probability & Inference,"One-Sided vs Two-Sided Tests — NextGen Empirical Finance Camp. Part 7 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p8.mp4,"[NGN W1.5 P8] The p-value, Defined Correctly",Week 1 — Probability & Inference,"The p-value, Defined Correctly — NextGen Empirical Finance Camp. Part 8 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p9.mp4,[NGN W1.5 P9] What the p-value Is Not,Week 1 — Probability & Inference,"What the p-value Is Not — NextGen Empirical Finance Camp. Part 9 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p10.mp4,[NGN W1.5 P10] Confidence Intervals as Inverted Tests,Week 1 — Probability & Inference,"Confidence Intervals as Inverted Tests — NextGen Empirical Finance Camp. Part 10 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p11.mp4,[NGN W1.5 P11] Effect Size vs Significance,Week 1 — Probability & Inference,"Effect Size vs Significance — NextGen Empirical Finance Camp. Part 11 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p12.mp4,[NGN W1.5 P12] Three Mistakes to Never Make,Week 1 — Probability & Inference,"Three Mistakes to Never Make — NextGen Empirical Finance Camp. Part 12 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p13.mp4,[NGN W1.5 P13] Multiple Testing and p-Hacking,Week 1 — Probability & Inference,"Multiple Testing and p-Hacking — NextGen Empirical Finance Camp. Part 13 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch15-p14.mp4,[NGN W1.5 P14] Where This Goes Next,Week 1 — Probability & Inference,"Where This Goes Next — NextGen Empirical Finance Camp. Part 14 of 14
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
lab1-p1.mp4,[NGN W1.L P1] Building a Coin-Flip Universe: Why Simulate?,Week 1 — Probability & Inference,"Building a Coin-Flip Universe: Why Simulate? — NextGen Empirical Finance Camp. Part 1 of 5
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
lab1-p2.mp4,[NGN W1.L P2] The Sampling Distribution and the CLT,Week 1 — Probability & Inference,"The Sampling Distribution and the CLT — NextGen Empirical Finance Camp. Part 2 of 5
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
lab1-p3.mp4,[NGN W1.L P3] Writing a Test and Measuring Its Size,Week 1 — Probability & Inference,"Writing a Test and Measuring Its Size — NextGen Empirical Finance Camp. Part 3 of 5
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
lab1-p4.mp4,[NGN W1.L P4] Power Curves and a p-Hacking Experiment,Week 1 — Probability & Inference,"Power Curves and a p-Hacking Experiment — NextGen Empirical Finance Camp. Part 4 of 5
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
lab1-p5.mp4,[NGN W1.L P5] Done-When Checklist and Where This Travels,Week 1 — Probability & Inference,"Done-When Checklist and Where This Travels — NextGen Empirical Finance Camp. Part 5 of 5
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
mentor1-p1.mp4,[NGN W1.M P1] A Number Is Not a Finding,Week 1 — Probability & Inference,"A Number Is Not a Finding — NextGen Empirical Finance Camp. Part 1 of 4
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
mentor1-p2.mp4,[NGN W1.M P2] Gate Two: Big Enough To Matter?,Week 1 — Probability & Inference,"Gate Two: Big Enough To Matter? — NextGen Empirical Finance Camp. Part 2 of 4
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
mentor1-p3.mp4,[NGN W1.M P3] Gate Three: Surviving the Search,Week 1 — Probability & Inference,"Gate Three: Surviving the Search — NextGen Empirical Finance Camp. Part 3 of 4
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
mentor1-p4.mp4,[NGN W1.M P4] What Separates a Finding From Noise,Week 1 — Probability & Inference,"What Separates a Finding From Noise — NextGen Empirical Finance Camp. Part 4 of 4
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p1.mp4,[NGN W2.1 P1] Sam's Beta and the Regression Model,Week 2 — OLS & Inference,"Sam's Beta and the Regression Model — NextGen Empirical Finance Camp. Part 1 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p2.mp4,[NGN W2.1 P2] Stacking the Data into Matrix Form,Week 2 — OLS & Inference,"Stacking the Data into Matrix Form — NextGen Empirical Finance Camp. Part 2 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p3.mp4,[NGN W2.1 P3] The Least-Squares Objective,Week 2 — OLS & Inference,"The Least-Squares Objective — NextGen Empirical Finance Camp. Part 3 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p4.mp4,"[NGN W2.1 P4] The Normal Equations, by Calculus",Week 2 — OLS & Inference,"The Normal Equations, by Calculus — NextGen Empirical Finance Camp. Part 4 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p5.mp4,"[NGN W2.1 P5] The Same Equations, by Orthogonality",Week 2 — OLS & Inference,"The Same Equations, by Orthogonality — NextGen Empirical Finance Camp. Part 5 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p6.mp4,[NGN W2.1 P6] The Estimator and the Column Space,Week 2 — OLS & Inference,"The Estimator and the Column Space — NextGen Empirical Finance Camp. Part 6 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p7.mp4,"[NGN W2.1 P7] OLS as Projection, and Pythagoras",Week 2 — OLS & Inference,"OLS as Projection, and Pythagoras — NextGen Empirical Finance Camp. Part 7 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p8.mp4,[NGN W2.1 P8] The Hat Matrix and the Residual Maker,Week 2 — OLS & Inference,"The Hat Matrix and the Residual Maker — NextGen Empirical Finance Camp. Part 8 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p9.mp4,[NGN W2.1 P9] Projection Properties and Invertibility,Week 2 — OLS & Inference,"Projection Properties and Invertibility — NextGen Empirical Finance Camp. Part 9 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p10.mp4,[NGN W2.1 P10] Computing Sam's Beta by Hand,Week 2 — OLS & Inference,"Computing Sam's Beta by Hand — NextGen Empirical Finance Camp. Part 10 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch21-p11.mp4,"[NGN W2.1 P11] Verifying Orthogonality, and What's Next",Week 2 — OLS & Inference,"Verifying Orthogonality, and What's Next — NextGen Empirical Finance Camp. Part 11 of 11
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p1.mp4,[NGN W2.2 P1] Why Should Anyone Trust This Number?,Week 2 — OLS & Inference,"Why Should Anyone Trust This Number? — NextGen Empirical Finance Camp. Part 1 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p2.mp4,"[NGN W2.2 P2] The Contract, Part One: Assumptions 1 to 3",Week 2 — OLS & Inference,"The Contract, Part One: Assumptions 1 to 3 — NextGen Empirical Finance Camp. Part 2 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p3.mp4,"[NGN W2.2 P3] The Contract, Part Two: Homoskedasticity and Normality",Week 2 — OLS & Inference,"The Contract, Part Two: Homoskedasticity and Normality — NextGen Empirical Finance Camp. Part 3 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p4.mp4,[NGN W2.2 P4] Unbiasedness: The Recipe Aims at the Truth,Week 2 — OLS & Inference,"Unbiasedness: The Recipe Aims at the Truth — NextGen Empirical Finance Camp. Part 4 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p5.mp4,"[NGN W2.2 P5] The Variance of OLS, and What ""Best"" Will Mean",Week 2 — OLS & Inference,"The Variance of OLS, and What ""Best"" Will Mean — NextGen Empirical Finance Camp. Part 5 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p6.mp4,[NGN W2.2 P6] The Gauss–Markov Theorem: OLS Is BLUE,Week 2 — OLS & Inference,"The Gauss–Markov Theorem: OLS Is BLUE — NextGen Empirical Finance Camp. Part 6 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p7.mp4,"[NGN W2.2 P7] Efficiency, and Unbiased Versus Consistent",Week 2 — OLS & Inference,"Efficiency, and Unbiased Versus Consistent — NextGen Empirical Finance Camp. Part 7 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch22-p8.mp4,"[NGN W2.2 P8] A Number That Should Frighten You, and Where This Heads",Week 2 — OLS & Inference,"A Number That Should Frighten You, and Where This Heads — NextGen Empirical Finance Camp. Part 8 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p1.mp4,"[NGN W2.3 P1] What ""Controlling For"" Really Means",Week 2 — OLS & Inference,"What ""Controlling For"" Really Means — NextGen Empirical Finance Camp. Part 1 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p2.mp4,[NGN W2.3 P2] Why It Collapses: The Partialling-Out Intuition,Week 2 — OLS & Inference,"Why It Collapses: The Partialling-Out Intuition — NextGen Empirical Finance Camp. Part 2 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p3.mp4,"[NGN W2.3 P3] Leah's Question, and Residualizing R&D",Week 2 — OLS & Inference,"Leah's Question, and Residualizing R&D — NextGen Empirical Finance Camp. Part 3 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p4.mp4,[NGN W2.3 P4] The Punchline: Leftover on Leftover,Week 2 — OLS & Inference,"The Punchline: Leftover on Leftover — NextGen Empirical Finance Camp. Part 4 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p5.mp4,[NGN W2.3 P5] The Formal Statement and the Residual Maker,Week 2 — OLS & Inference,"The Formal Statement and the Residual Maker — NextGen Empirical Finance Camp. Part 5 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p6.mp4,[NGN W2.3 P6] The Four-Line Proof and Its Geometry,Week 2 — OLS & Inference,"The Four-Line Proof and Its Geometry — NextGen Empirical Finance Camp. Part 6 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p7.mp4,"[NGN W2.3 P7] Holding Constant Is a Subtraction, Not a Filter",Week 2 — OLS & Inference,"Holding Constant Is a Subtraction, Not a Filter — NextGen Empirical Finance Camp. Part 7 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p8.mp4,"[NGN W2.3 P8] Omitting a Control, and the Discipline It Enforces",Week 2 — OLS & Inference,"Omitting a Control, and the Discipline It Enforces — NextGen Empirical Finance Camp. Part 8 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p9.mp4,[NGN W2.3 P9] An Intercept Demeans; Dummies Demean Within Groups,Week 2 — OLS & Inference,"An Intercept Demeans; Dummies Demean Within Groups — NextGen Empirical Finance Camp. Part 9 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p10.mp4,"[NGN W2.3 P10] Dummies Equal Demeaning: Fixed Effects, a Month Early",Week 2 — OLS & Inference,"Dummies Equal Demeaning: Fixed Effects, a Month Early — NextGen Empirical Finance Camp. Part 10 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p11.mp4,[NGN W2.3 P11] Why FWL Makes Computation Fast,Week 2 — OLS & Inference,"Why FWL Makes Computation Fast — NextGen Empirical Finance Camp. Part 11 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p12.mp4,"[NGN W2.3 P12] The Traps, the Code, and the Name",Week 2 — OLS & Inference,"The Traps, the Code, and the Name — NextGen Empirical Finance Camp. Part 12 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch23-p13.mp4,[NGN W2.3 P13] What To Carry Forward,Week 2 — OLS & Inference,"What To Carry Forward — NextGen Empirical Finance Camp. Part 13 of 13
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p1.mp4,[NGN W2.4 P1] When the Errors Misbehave,Week 2 — OLS & Inference,"When the Errors Misbehave — NextGen Empirical Finance Camp. Part 1 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p2.mp4,[NGN W2.4 P2] The Classical Variance and Omega,Week 2 — OLS & Inference,"The Classical Variance and Omega — NextGen Empirical Finance Camp. Part 2 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p3.mp4,[NGN W2.4 P3] The Sandwich Never Went Away,Week 2 — OLS & Inference,"The Sandwich Never Went Away — NextGen Empirical Finance Camp. Part 3 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p4.mp4,[NGN W2.4 P4] A Sandwich by Hand,Week 2 — OLS & Inference,"A Sandwich by Hand — NextGen Empirical Finance Camp. Part 4 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p5.mp4,[NGN W2.4 P5] Heteroskedasticity and White's Idea,Week 2 — OLS & Inference,"Heteroskedasticity and White's Idea — NextGen Empirical Finance Camp. Part 5 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p6.mp4,[NGN W2.4 P6] HC0 to HC3,Week 2 — OLS & Inference,"HC0 to HC3 — NextGen Empirical Finance Camp. Part 6 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p7.mp4,[NGN W2.4 P7] Robust SEs in Numbers,Week 2 — OLS & Inference,"Robust SEs in Numbers — NextGen Empirical Finance Camp. Part 7 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p8.mp4,[NGN W2.4 P8] Clustering: The Failure White Misses,Week 2 — OLS & Inference,"Clustering: The Failure White Misses — NextGen Empirical Finance Camp. Part 8 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p9.mp4,[NGN W2.4 P9] The Cluster-Robust Sandwich,Week 2 — OLS & Inference,"The Cluster-Robust Sandwich — NextGen Empirical Finance Camp. Part 9 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch24-p10.mp4,[NGN W2.4 P10] HAC / Newey–West,Week 2 — OLS & Inference,"HAC / Newey–West — NextGen Empirical Finance Camp. Part 10 of 12
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
